x y z reading
0 0 -40 474.11
-24 0 -32 474.11
-16 -16 -32 475.28
-16 -8 -32 476.38
-16 0 -32 476.39
-16 8 -32 476.44
-16 16 -32 476.48
-8 -16 -32 476.39
-8 -8 -32 476.43
-8 0 -32 476.42
-8 8 -32 476.47
-8 16 -32 476.49
0 -24 -32 476.46
0 -16 -32 476.31
0 -8 -32 476.41
0 0 -32 476.41
0 8 -32 476.42
0 16 -32 476.36
0 24 -32 476.32
8 -16 -32 476.35
8 -8 -32 476.44
8 0 -32 476.43
8 8 -32 476.40
8 16 -32 476.43
16 -16 -32 476.37
16 -8 -32 476.39
16 0 -32 476.40
16 8 -32 476.39
16 16 -32 476.42
24 0 -32 476.30
-32 0 -24 476.31
-24 -16 -24 476.33
-24 -8 -24 476.32
-24 0 -24 476.34
-24 8 -24 nan
-24 16 -24 476.32
-16 -24 -24 476.32
-16 -16 -24 476.33
-16 -8 -24 476.26
-16 0 -24 476.33
-16 8 -24 476.28
-16 16 -24 476.29
-16 24 -24 476.27
-8 -24 -24 476.28
-8 -16 -24 476.16
-8 -8 -24 476.23
-8 0 -24 476.25
-8 8 -24 476.25
-8 16 -24 476.20
-8 24 -24 476.26
0 -32 -24 476.21
0 -24 -24 476.21
0 -16 -24 476.25
0 -8 -24 476.21
0 0 -24 476.19
0 8 -24 476.26
0 16 -24 476.18
0 24 -24 476.26
0 32 -24 476.18
8 -24 -24 476.23
8 -16 -24 476.21
8 -8 -24 476.14
8 0 -24 476.19
8 8 -24 476.20
8 16 -24 476.30
8 24 -24 476.29
16 -24 -24 476.23
16 -16 -24 476.26
16 -8 -24 476.24
16 0 -24 476.22
16 8 -24 476.26
16 16 -24 476.23
16 24 -24 476.16
24 -16 -24 476.19
24 -8 -24 476.20
24 0 -24 476.19
24 8 -24 476.25
24 16 -24 476.28
32 0 -24 476.24
-36 -4 -16 476.30
-36 4 -16 476.31
-28 -20 -16 476.22
-28 -12 -16 476.21
-28 -4 -16 476.17
-28 4 -16 476.27
-28 12 -16 476.20
-28 20 -16 476.19
-20 -28 -16 476.18
-20 -20 -16 476.29
-20 -12 -16 476.25
-20 -4 -16 476.24
-20 4 -16 476.19
-20 12 -16 476.20
-20 20 -16 476.24
-20 28 -16 476.19
-12 -28 -16 476.17
-12 -20 -16 476.11
-12 -12 -16 476.09
-12 -4 -16 476.06
-12 4 -16 476.09
-12 12 -16 476.06
-12 20 -16 476.06
-12 28 -16 476.13
-4 -36 -16 476.09
-4 -28 -16 476.14
-4 -20 -16 476.10
-4 -12 -16 476.19
-4 -4 -16 476.12
-4 4 -16 476.08
-4 12 -16 476.03
-4 20 -16 476.17
-4 28 -16 476.19
-4 36 -16 476.25
4 -36 -16 476.24
4 -28 -16 476.15
4 -20 -16 476.13
4 -12 -16 476.09
4 -4 -16 476.17
4 4 -16 476.15
4 12 -16 476.16
4 20 -16 476.05
4 28 -16 476.07
4 36 -16 476.04
12 -28 -16 476.04
12 -20 -16 476.09
12 -12 -16 476.13
12 -4 -16 476.14
12 4 -16 476.11
12 12 -16 476.15
12 20 -16 476.17
12 28 -16 476.17
20 -28 -16 476.15
20 -20 -16 476.09
20 -12 -16 476.20
20 -4 -16 476.11
20 4 -16 476.16
20 12 -16 476.23
20 20 -16 476.20
20 28 -16 476.25
28 -20 -16 476.18
28 -12 -16 476.11
28 -4 -16 476.21
28 4 -16 476.20
28 12 -16 476.09
28 20 -16 476.15
36 -4 -16 476.13
36 4 -16 476.12
-39 1 -8 476.19
-31 -23 -8 476.01
-31 -15 -8 476.04
-31 -7 -8 476.03
-31 1 -8 475.96
-31 9 -8 475.96
-31 17 -8 476.01
-23 -31 -8 476.01
-23 -23 -8 476.04
-23 -15 -8 476.08
-23 -7 -8 476.05
-23 1 -8 476.06
-23 9 -8 476.04
-23 17 -8 475.98
-23 25 -8 476.02
-15 -31 -8 475.99
-15 -23 -8 475.95
-15 -15 -8 475.85
-15 -7 -8 475.89
-15 1 -8 475.90
-15 9 -8 475.81
-15 17 -8 475.94
-15 25 -8 475.83
-15 33 -8 475.88
-7 -31 -8 475.84
-7 -23 -8 475.82
-7 -15 -8 475.76
-7 -7 -8 475.86
-7 1 -8 475.84
-7 9 -8 475.81
-7 17 -8 475.90
-7 25 -8 475.83
-7 33 -8 475.83
1 -39 -8 475.82
1 -31 -8 475.83
1 -23 -8 475.75
1 -15 -8 475.79
1 -7 -8 475.87
1 1 -8 475.86
1 9 -8 475.81
1 17 -8 475.85
1 25 -8 475.80
1 33 -8 475.80
9 -31 -8 475.75
9 -23 -8 475.80
9 -15 -8 475.73
9 -7 -8 475.72
9 1 -8 475.71
9 9 -8 475.71
9 17 -8 475.67
9 25 -8 475.62
9 33 -8 475.62
17 -31 -8 475.70
17 -23 -8 475.63
17 -15 -8 475.60
17 -7 -8 475.59
17 1 -8 475.63
17 9 -8 475.65
17 17 -8 475.63
17 25 -8 475.63
17 33 -8 475.65
25 -23 -8 475.65
25 -15 -8 475.64
25 -7 -8 475.61
25 1 -8 475.66
25 9 -8 475.63
25 17 -8 475.66
25 25 -8 475.73
33 -15 -8 475.67
33 -7 -8 475.70
33 1 -8 475.60
33 9 -8 475.64
33 17 -8 475.56
-40 0 0 475.49
-32 -24 0 475.56
-32 -16 0 475.51
-32 -8 0 475.51
-32 0 0 475.52
-32 8 0 475.53
-32 16 0 475.60
-32 24 0 475.53
-24 -32 0 475.53
-24 -24 0 475.44
-24 -16 0 475.46
-24 -8 0 475.39
-24 0 0 475.39
-24 8 0 475.40
-24 16 0 475.41
-24 24 0 475.45
-24 32 0 475.51
-16 -32 0 475.51
-16 -24 0 475.44
-16 -16 0 475.41
-16 -8 0 475.44
-16 0 0 475.39
-16 8 0 475.47
-16 16 0 475.39
-16 24 0 475.37
-16 32 0 476.49
-8 -32 0 475.37
-8 -24 0 475.34
-8 -16 0 475.38
-8 -8 0 475.43
-8 0 0 475.50
-8 8 0 475.37
-8 16 0 475.39
-8 24 0 475.38
-8 32 0 457.65
0 -40 0 457.64
0 -32 0 457.64
0 -24 0 457.64
0 -16 0 457.63
0 -8 0 457.58
0 0 0 457.65
0 8 0 457.50
0 16 0 457.49
0 24 0 457.47
0 32 0 457.51
0 40 0 457.46
8 -32 0 457.49
8 -24 0 457.50
8 -16 0 457.55
8 -8 0 457.48
8 0 0 460.59
8 8 0 460.91
8 16 0 463.02
8 24 0 463.03
8 32 0 463.00
16 -32 0 463.08
16 -24 0 463.03
16 -16 0 463.00
16 -8 0 462.98
16 0 0 463.07
16 8 0 462.93
16 16 0 463.05
16 24 0 462.97
16 32 0 462.91
24 -32 0 462.92
24 -24 0 462.89
24 -16 0 462.94
24 -8 0 462.92
24 0 0 462.88
24 8 0 462.94
24 16 0 462.89
24 24 0 462.89
24 32 0 462.84
32 -24 0 462.90
32 -16 0 462.87
