x y z
0 0 -30
-14 -2 -26
-14 2 -26
-10 -10 -26
-10 -6 -26
-10 -2 -26
-10 2 -26
-10 6 -26
-10 10 -26
-6 -10 -26
-6 -6 -26
-6 -2 -26
-6 2 -26
-6 6 -26
-6 10 -26
-2 -14 -26
-2 -10 -26
-2 -6 -26
-2 -2 -26
-2 2 -26
-2 6 -26
-2 10 -26
-2 14 -26
2 -14 -26
2 -10 -26
2 -6 -26
2 -2 -26
2 2 -26
2 6 -26
2 10 -26
2 14 -26
6 -10 -26
6 -6 -26
6 -2 -26
6 2 -26
6 6 -26
6 10 -26
10 -10 -26
10 -6 -26
10 -2 -26
10 2 -26
10 6 -26
10 10 -26
14 -2 -26
14 2 -26
-20 -4 -22
-20 0 -22
-20 4 -22
-16 -12 -22
-16 -8 -22
-16 -4 -22
-16 0 -22
-16 4 -22
-16 8 -22
-16 12 -22
-12 -16 -22
-12 -12 -22
-12 -8 -22
-12 -4 -22
-12 0 -22
-12 4 -22
-12 8 -22
-12 12 -22
-12 16 -22
-8 -16 -22
-8 -12 -22
-8 -8 -22
-8 -4 -22
-8 0 -22
-8 4 -22
-8 8 -22
-8 12 -22
-8 16 -22
-4 -20 -22
-4 -16 -22
-4 -12 -22
-4 -8 -22
-4 -4 -22
-4 0 -22
-4 4 -22
-4 8 -22
-4 12 -22
-4 16 -22
-4 20 -22
0 -20 -22
0 -16 -22
0 -12 -22
0 -8 -22
0 -4 -22
0 0 -22
0 4 -22
0 8 -22
0 12 -22
0 16 -22
0 20 -22
4 -20 -22
4 -16 -22
4 -12 -22
4 -8 -22
4 -4 -22
4 0 -22
4 4 -22
4 8 -22
4 12 -22
4 16 -22
4 20 -22
8 -16 -22
8 -12 -22
8 -8 -22
8 -4 -22
8 0 -22
8 4 -22
8 8 -22
8 12 -22
8 16 -22
12 -16 -22
12 -12 -22
12 -8 -22
12 -4 -22
12 0 -22
12 4 -22
12 8 -22
12 12 -22
12 16 -22
16 -12 -22
16 -8 -22
16 -4 -22
16 0 -22
16 4 -22
16 8 -22
16 12 -22
20 -4 -22
20 0 -22
20 4 -22
-24 0 -18
-20 -12 -18
-20 -8 -18
-20 -4 -18
-20 0 -18
-20 4 -18
-20 8 -18
-20 12 -18
-16 -16 -18
